parameter_key,parameter_label,unit,pre_council_value,final_value,from_to,rationale_summary,rationale_source,rationale_quality
residence_time_min,Residence Time,min,90,207.3,90 -> 207.3,"The saved 1-candidate ablation file does not retain the detailed agent log. From the verified before/after state, the council appears to have repaired kinetics locally by increasing tau sharply while leaving Q and d unchanged.",outputs/snar_1cand_run.json outcome only,inference-from-outcome
flow_rate_mL_min,Total Flow Rate,mL/min,0.2234,0.2234,0.2234 -> 0.2234,"Flow rate stayed unchanged, which indicates the single-candidate ablation did not explore an alternative throughput regime. It repaired the original design locally instead of moving to a different geometry region.",outputs/snar_1cand_run.json outcome only,inference-from-outcome
reactor_volume_mL,Reactor Volume,mL,20.106,46.311,20.106 -> 46.311,This larger reactor volume is the direct consequence of increasing tau while leaving flow rate and tubing diameter unchanged.,Derived from outputs/snar_1cand_run.json,derived-from-outcome
tubing_ID_mm,Tubing Inner Diameter,mm,1.6,1.6,1.6 -> 1.6,"Tubing ID stayed at 1.6 mm. The single-candidate ablation file shows no evidence of a geometry search, so the council remained in the original large-ID regime.",outputs/snar_1cand_run.json outcome only,inference-from-outcome
tubing_material,Tubing Material,,PFA,FEP,PFA -> FEP,"The 1-candidate result corrected material from PFA to FEP. Its ablation file does not preserve agent text, but the richer 12-candidate log for the same SNAr case explicitly approved FEP compatibility with DMF at 150 C.",outputs/snar_1cand_run.json + cross-check with outputs/snar_council_run.json,cross-checked inference
BPR_bar,Back-Pressure Regulator,bar,10,0.6,10 -> 0.6,"The 1-candidate result corrected BPR down from 10.0 to 0.6 bar. The detailed safety explanation was not retained in the ablation file, but the richer 12-candidate log for the same case estimated only about 0.62 bar was required.",outputs/snar_1cand_run.json + cross-check with outputs/snar_council_run.json,cross-checked inference
temperature_C,Temperature,C,150,150,150 -> 150,"Temperature stayed at 150 C. The saved 1-candidate output shows no chemistry-level change, only local repair of the operating point.",outputs/snar_1cand_run.json,proposal-backed
concentration_M,Reactor Concentration,M,0.15,0.15,0.15 -> 0.15,"Concentration stayed at 0.15 M. The preserved proposal-level reasoning treats 0.15 M as the practical reactor concentration for the mixed feeds, and the ablation kept that value.",reasoning_per_field in outputs/snar_1cand_run.json,proposal-backed
reactor_type,Reactor Type,,coil,coil,coil -> coil,Reactor type remained a coil. The 1-candidate ablation did not change the process architecture.,outputs/snar_1cand_run.json,proposal-backed
mixer_type,Mixer Type,,T-mixer,T-mixer,T-mixer -> T-mixer,Mixer type remained a T-mixer. The single-candidate result kept the same front-end mixing architecture.,outputs/snar_1cand_run.json,proposal-backed
pressure_drop_bar,Pressure Drop,bar,0.0021,0.0049,0.0021 -> 0.0049,"Pressure drop increased only because the residence time was lengthened on the same geometry. This is a derived consequence, not a directly chosen field.",Derived from outputs/snar_1cand_run.json,derived-from-outcome
surface_to_volume_m_inv,Surface-to-Volume Ratio,m^-1,2500,2500,2500 -> 2500,Surface-to-volume ratio did not improve because the tubing diameter never changed. This is the clearest sign that the 1-candidate run repaired the original design without finding a better geometry regime.,Derived from outputs/snar_1cand_run.json,derived-from-outcome
