file,definition
absolute_criterion_ratings.csv,"One row per valid judge-repeat-criterion rating, including evidence and required correction."
absolute_call_status.csv,One row per planned absolute LLM request with provider status and duration.
absolute_criterion_consensus.csv,"Median and mean rating per candidate, track, and criterion across judges and repeats."
absolute_candidate_scores.csv,Code-calculated weighted 0-100 consensus score for each candidate and track.
absolute_judge_repeat_scores.csv,"Code-calculated weighted score for one judge, candidate, track, and repeat."
leave_own_family_out_scores.csv,Candidate scores after excluding the judge from the generator model family.
same_family_bias.csv,Own-family minus cross-family judge score sensitivity.
within_judge_repeatability.csv,"Exact equality, range, and SD across three repeats for each rating target."
interjudge_agreement.csv,"ICC(2,1), exact agreement, and Spearman agreement by track."
pairwise_preferences.csv,Every pairwise criterion and overall A/B/TIE decision mapped to architecture.
pairwise_call_status.csv,One row per planned pairwise request with provider status and duration.
pairwise_summary.csv,"FlowPilot, One-shot, and TIE vote counts/rates by generator model, track, and criterion."
pairwise_order_consistency.csv,Whether a decision is unchanged when candidate A/B order is reversed.
pairwise_consensus.csv,Plurality preference across judges and both orders for each matched pair and criterion.
