judge,judge_family,track,pair_id,order,status,initial_status,attempt_count,duration_seconds,generator_model,generator_family,case,criterion_id,raw_preference,normalized_preference,evidence,confidence
claude,anthropic,assurance,P-01-B2E30,1,valid,valid,1,25.6,GPT-5.4,openai,CuAAC,A-01,B,FlowPilot,"Candidate B provides explicit step-by-step calculation traces with named equations, units, and intermediate values (e.g., Pe=2, Re=1.4, ΔP=2.1e-8 bar, BPR requirement derivation P_vap=11.31 bar). Candidate A states conclusions (0.3 mL / 3.0 min = 0.1 mL/min) but provides no equation-level traceability for BPR sizing, pressure drop, or heat transfer. B's calculation_trace block allows independent reconstruction of every numerical decision; A's field_reasoning does not.",high
claude,anthropic,assurance,P-01-B2E30,1,valid,valid,1,25.6,GPT-5.4,openai,CuAAC,A-02,B,FlowPilot,"Candidate B distinguishes protocol facts (batch anchor values with explicit fields), model inferences (kinetics bypassed with note), assumptions (D=1e-9 m²/s, ΔH=-80 kJ/mol, U=300 W/m²K), and lists source_evidence document IDs. Candidate A labels its single literature claim as 'general analogy only' and explicitly disclaims invoking the held-out source, but provides no document-level provenance for any assumed property. B's inventory_trace with capability_checks further separates inventory facts from design inferences.",high
claude,anthropic,assurance,P-01-B2E30,1,valid,valid,1,25.6,GPT-5.4,openai,CuAAC,A-03,B,FlowPilot,"Candidate B documents a multi-agent deliberation with competing candidates evaluated across chemistry, kinetics, fluidics, and safety domains, with scores and trade-off rationale recorded. It explicitly notes why τ=2.8 min was chosen over shorter intensified options and flags the mixing limitation as a known trade-off. Candidate A states a single design choice (mirror batch conditions) with brief justification and no competing alternatives reviewed.",high
claude,anthropic,assurance,P-01-B2E30,1,valid,valid,1,25.6,GPT-5.4,openai,CuAAC,A-04,B,FlowPilot,"Candidate B explicitly flags Pe=2 (axial dispersion warning), Da_mass=267.9 (mass-transfer limited warning), productivity closure failure (P_flow < P_batch), and notes kinetics estimation was bypassed. It assigns confidence='LOW' and disposition='SCREEN' with calibrated rationale. Candidate A assigns confidence='moderate' with minimal uncertainty quantification and no transport-limitation analysis. B's warnings are specific, quantified, and tied to physical criteria.",high
claude,anthropic,assurance,P-01-B2E30,1,valid,valid,1,25.6,GPT-5.4,openai,CuAAC,A-05,B,FlowPilot,"Candidate B exposes the full deliberation_trace including agent findings, round-by-round decisions, scoring matrix, skeptic audit result, final_validation checks (13 named boolean checks), and design_realization solver order. Candidate A has deliberation_trace with round_count=0 and message_count=0, providing no audit trail of how the design was obtained beyond field_reasoning assertions.",high
claude,anthropic,assurance,P-01-B2E30,1,valid,valid,1,25.6,GPT-5.4,openai,CuAAC,A-06,B,FlowPilot,"Candidate B provides sufficient structured context (inventory_trace with equipment_item_ids and settings, feed_assignments with flow rates and concentrations, calculation_trace with equations and intermediate values, design_realization with solver decisions) to independently regenerate the design. Candidate A provides only narrative field_reasoning without the structured numerical and equipment-assignment detail needed for independent regeneration. Note: B's internal consistency has a discrepancy (deliberation summary shows d=0.75mm/Q=2.84 mL/min but final realization uses d=4mm/Q=0.107 mL/min from inventory), which reduces but does not eliminate its reproducibility advantage over A.",medium
claude,anthropic,assurance,P-01-B2E30,1,valid,valid,1,25.6,GPT-5.4,openai,CuAAC,OVERALL,B,FlowPilot,"Candidate B substantially outperforms Candidate A on all six assurance criteria. B provides explicit equation-level calculation traces, distinguished evidence provenance with document IDs, a documented multi-agent deliberation reviewing competing designs, quantified uncertainty warnings (Pe, Da_mass, productivity closure), a complete audit trail with 13 named validation checks, and structured feed/equipment assignments enabling independent regeneration. Candidate A offers only narrative field_reasoning with minimal traceability, no competing alternatives, no transport-limitation analysis, and an empty deliberation trace. Despite an internal inconsistency in B between the deliberation summary geometry and the final realization geometry, B's assurance record is far more complete and auditable than A's.",
claude,anthropic,assurance,P-01-B2E30,2,valid,valid,1,26.08,GPT-5.4,openai,CuAAC,A-01,A,FlowPilot,"Candidate A provides explicit equations for every numerical decision: residence time (τ = V_R/Q = 0.3/0.10714 = 2.80 min), pressure drop (Hagen-Poiseuille), BPR minimum (P_vap + ΔP + 0.5 bar), Pe, Da_mass, Re, heat generation and removal, STY, and productivity. Units, inputs, and closure checks are all shown. Candidate B states τ = 0.3 mL / 0.1 mL/min = 3.0 min and BPR = 20 bar but provides no supporting equations, no Pe/Da/Re calculations, no pressure-drop estimate, and no BPR adequacy derivation beyond a qualitative statement.",high
claude,anthropic,assurance,P-01-B2E30,2,valid,valid,1,26.08,GPT-5.4,openai,CuAAC,A-02,A,FlowPilot,"Candidate A distinguishes inventory facts (equipment IDs, rated limits), batch protocol facts (T=150°C, C=0.25 M, t=3 min, Y=94%), estimated properties (ΔH≈-80 kJ/mol, D=1e-9 m²/s, U=300 W/m²K), and model inferences (Pe, Da, k_flow), labeling each. Three source IDs are cited. Candidate B makes only a vague 'general analogy' claim with no source IDs and does not distinguish protocol facts from assumptions or model outputs.",high
claude,anthropic,assurance,P-01-B2E30,2,valid,valid,1,26.08,GPT-5.4,openai,CuAAC,A-03,A,FlowPilot,"Candidate A documents a multi-candidate deliberation matrix with scored trade-offs across chemistry, kinetics, fluidics, safety, and geometry domains, explains why the single surviving candidate was selected, and records competing concerns (mixing limitation, low intensification). Candidate B states it chose a 'conservative direct-translation screen' with no competing alternatives reviewed and no justification against engineering or safety constraints beyond brief qualitative remarks.",high
