generator_model,case,track,pair_id,criterion_id,consensus_preference,support_votes,valid_votes
GPT-5.4,CuAAC,assurance,P-01-B2E30,A-01,FlowPilot,6,6
GPT-5.4,CuAAC,assurance,P-01-B2E30,A-02,FlowPilot,5,6
GPT-5.4,CuAAC,assurance,P-01-B2E30,A-03,FlowPilot,6,6
GPT-5.4,CuAAC,assurance,P-01-B2E30,A-04,FlowPilot,5,6
GPT-5.4,CuAAC,assurance,P-01-B2E30,A-05,FlowPilot,6,6
GPT-5.4,CuAAC,assurance,P-01-B2E30,A-06,FlowPilot,4,6
GPT-5.4,CuAAC,assurance,P-01-B2E30,OVERALL,FlowPilot,5,6
GPT-5.4,CuAAC,outcome,P-01-B2E30,O-01,TIE,3,6
GPT-5.4,CuAAC,outcome,P-01-B2E30,O-02,One-shot,5,6
GPT-5.4,CuAAC,outcome,P-01-B2E30,O-03,One-shot,6,6
GPT-5.4,CuAAC,outcome,P-01-B2E30,O-04,TIE,4,6
GPT-5.4,CuAAC,outcome,P-01-B2E30,O-05,One-shot,6,6
GPT-5.4,CuAAC,outcome,P-01-B2E30,O-06,One-shot,6,6
GPT-5.4,CuAAC,outcome,P-01-B2E30,OVERALL,One-shot,6,6
GPT-5.4,Hydrogenolysis,assurance,P-02-0ABB9,A-01,FlowPilot,4,6
GPT-5.4,Hydrogenolysis,assurance,P-02-0ABB9,A-02,One-shot,4,6
GPT-5.4,Hydrogenolysis,assurance,P-02-0ABB9,A-03,TIE,3,6
GPT-5.4,Hydrogenolysis,assurance,P-02-0ABB9,A-04,One-shot,4,6
GPT-5.4,Hydrogenolysis,assurance,P-02-0ABB9,A-05,FlowPilot,4,6
GPT-5.4,Hydrogenolysis,assurance,P-02-0ABB9,A-06,FlowPilot,4,6
GPT-5.4,Hydrogenolysis,assurance,P-02-0ABB9,OVERALL,FlowPilot,3,6
GPT-5.4,Hydrogenolysis,outcome,P-02-0ABB9,O-01,One-shot,4,6
GPT-5.4,Hydrogenolysis,outcome,P-02-0ABB9,O-02,TIE,3,6
GPT-5.4,Hydrogenolysis,outcome,P-02-0ABB9,O-03,One-shot,4,6
GPT-5.4,Hydrogenolysis,outcome,P-02-0ABB9,O-04,TIE,3,6
GPT-5.4,Hydrogenolysis,outcome,P-02-0ABB9,O-05,One-shot,4,6
GPT-5.4,Hydrogenolysis,outcome,P-02-0ABB9,O-06,One-shot,4,6
GPT-5.4,Hydrogenolysis,outcome,P-02-0ABB9,OVERALL,One-shot,4,6
GPT-5.4,Two-stage amidation,assurance,P-03-37BDD,A-01,One-shot,6,6
GPT-5.4,Two-stage amidation,assurance,P-03-37BDD,A-02,One-shot,6,6
GPT-5.4,Two-stage amidation,assurance,P-03-37BDD,A-03,One-shot,6,6
GPT-5.4,Two-stage amidation,assurance,P-03-37BDD,A-04,One-shot,6,6
GPT-5.4,Two-stage amidation,assurance,P-03-37BDD,A-05,One-shot,5,6
GPT-5.4,Two-stage amidation,assurance,P-03-37BDD,A-06,One-shot,5,6
GPT-5.4,Two-stage amidation,assurance,P-03-37BDD,OVERALL,One-shot,6,6
GPT-5.4,Two-stage amidation,outcome,P-03-37BDD,O-01,One-shot,5,6
GPT-5.4,Two-stage amidation,outcome,P-03-37BDD,O-02,One-shot,6,6
GPT-5.4,Two-stage amidation,outcome,P-03-37BDD,O-03,One-shot,4,6
GPT-5.4,Two-stage amidation,outcome,P-03-37BDD,O-04,One-shot,6,6
GPT-5.4,Two-stage amidation,outcome,P-03-37BDD,O-05,One-shot,6,6
GPT-5.4,Two-stage amidation,outcome,P-03-37BDD,O-06,One-shot,6,6
GPT-5.4,Two-stage amidation,outcome,P-03-37BDD,OVERALL,One-shot,6,6
Qwen3.6-27B,CuAAC,assurance,P-04-69169,A-01,FlowPilot,6,6
Qwen3.6-27B,CuAAC,assurance,P-04-69169,A-02,FlowPilot,6,6
Qwen3.6-27B,CuAAC,assurance,P-04-69169,A-03,FlowPilot,6,6
Qwen3.6-27B,CuAAC,assurance,P-04-69169,A-04,FlowPilot,6,6
Qwen3.6-27B,CuAAC,assurance,P-04-69169,A-05,FlowPilot,6,6
Qwen3.6-27B,CuAAC,assurance,P-04-69169,A-06,FlowPilot,6,6
