references,supports,interpretation_checked
Figure 1; Figures S1-S2; Tables S1-S3,"Architecture, intake and provenance",Describes design contracts and recorded workflow; not wet-lab validation.
Figure 2; Figures S3-S4; Tables S4-S5,Knowledge coverage,Counts and associations describe metadata coverage. Existing Figure 2(c) denominator discrepancy remains flagged.
Figure 3; Figures S5-S6; Tables S6-S7,Retrieval relevance,Family matching and rank changes are not measurements of reaction or design success.
Figure 4; Figures S7-S10; Tables S8-S12,Outcome and architecture evaluation,"Mean scores, flag counts and distinct repeat/between-case SD definitions checked against ESI tables. The extra GPT-5.4 bars remain disclosed."
Tables S13-S16,"Numerical closure, inventory, feedback and replay",Reference definitions without claiming every proposed operating point is experimentally validated.
Figure S11; Table S17,Practical input and output example,User-facing input differs from internal prompt volume; legacy QA is not the primary benchmark score.
Figure S12; Tables S18-S21,Historical council matrix and radar study,Separate five-repeat engineering profile; not the independent-judge outcome score.
Figure S13; Table S22,Structured design and narrative discrepancy,"The caption and table concern a historical SCREEN record, not measured execution."
Figures S14-S17; Tables S23-S25,Actual GUI and inventory examples,Recorded intake and reopened-run views; not a newly executed benchmark or wet-lab run.
Table S26,Concrete failure mechanisms,"One-shot timing inconsistency, FlowPilot solids assignment, and evaluator false positive remain explicitly differentiated."
Figure S18; Table S27,Council disagreement,Actual saved model assessments; no claims about hidden reasoning or experimental correctness.
Figure S19; Table S28,Full application and companion records,"Navigation and provenance support, not performance evidence."
Figures 5-6,Planned two-stage laboratory cases,Unchanged placeholders and short prospective paragraphs; no fabricated measured data.
