paragraph,reference,caption_in_unchanged_esi,manuscript_text
16,Figure S1,"Figure S1. FlowPilot architecture, authority boundaries, and typed data contracts. (a) The workflow separates standardized intake, chemistry interpretation, retrieval, deterministic engineering, council review, inventory reconciliation, and artifact publication. Measured evidence and hard safety or inventory constraints outrank confirmed protocol facts, chemist hypotheses, and model inference. (b) Typed contracts and closure checks ensure that only a validated FinalDesignContract can publish executable parameters.","The output of the workflow is a structured design package rather than only a text answer. It contains a process-flow diagram, stage and stream parameters, equipment assignments, confidence and safety flags, supporting analogies, and the review record. The numerical views and diagram are derived from the same final design contract, while unresolved requirements remain separately visible. This exposes both the proposed operating point and how it was selected without treating a model's confidence as experimental validation. Detailed architecture, authority boundaries, intake contracts, and run provenance are provided in Figures S1-S2 and Tables S1-S3."
16,Figure S2,"Figure S2. Standardized intake, GUI execution, synchronized results, and run provenance. (a) The chemist supplies a protocol, resolves context-dependent questions with stable identifiers, and selects inventory. The completed input package is frozen for the current run, while earlier answers remain in history. (b) The schematic GUI supports model selection, progress monitoring, and review, routing consistent designs to results and unresolved requirements to revision. (c) Overview, process tables, and equipment topology derive from one Final Design Contract; supporting diagnostics remain separately inspectable. Parameter symbols and the oxygen inlet arrangement are illustrative. (d) Timestamped folders preserve inputs, designs, equipment assignments, topology, and visual artifacts. Measured experimental feedback initiates a new design cycle while earlier records are retained. Computational consistency checks do not constitute experimental validation, and traceable input handling does not guarantee identical model responses.","The output of the workflow is a structured design package rather than only a text answer. It contains a process-flow diagram, stage and stream parameters, equipment assignments, confidence and safety flags, supporting analogies, and the review record. The numerical views and diagram are derived from the same final design contract, while unresolved requirements remain separately visible. This exposes both the proposed operating point and how it was selected without treating a model's confidence as experimental validation. Detailed architecture, authority boundaries, intake contracts, and run provenance are provided in Figures S1-S2 and Tables S1-S3."
16,Table S1,"Table S1. FlowPilot components, data contracts, and decision responsibilities.","The output of the workflow is a structured design package rather than only a text answer. It contains a process-flow diagram, stage and stream parameters, equipment assignments, confidence and safety flags, supporting analogies, and the review record. The numerical views and diagram are derived from the same final design contract, while unresolved requirements remain separately visible. This exposes both the proposed operating point and how it was selected without treating a model's confidence as experimental validation. Detailed architecture, authority boundaries, intake contracts, and run provenance are provided in Figures S1-S2 and Tables S1-S3."
16,Table S2,Table S2. Fixed standardized-intake question bank and readiness rules.,"The output of the workflow is a structured design package rather than only a text answer. It contains a process-flow diagram, stage and stream parameters, equipment assignments, confidence and safety flags, supporting analogies, and the review record. The numerical views and diagram are derived from the same final design contract, while unresolved requirements remain separately visible. This exposes both the proposed operating point and how it was selected without treating a model's confidence as experimental validation. Detailed architecture, authority boundaries, intake contracts, and run provenance are provided in Figures S1-S2 and Tables S1-S3."
16,Table S3,Table S3. GUI autosave artifacts and their provenance function.,"The output of the workflow is a structured design package rather than only a text answer. It contains a process-flow diagram, stage and stream parameters, equipment assignments, confidence and safety flags, supporting analogies, and the review record. The numerical views and diagram are derived from the same final design contract, while unresolved requirements remain separately visible. This exposes both the proposed operating point and how it was selected without treating a model's confidence as experimental validation. Detailed architecture, authority boundaries, intake contracts, and run provenance are provided in Figures S1-S2 and Tables S1-S3."
20,Figure S3,"Figure S3. Composition of the flow-chemistry literature corpus. (a-d) Reaction class, reactor type, reactor material, and bond or transformation labels (n = 464 records in each panel). (e) Number of inlet streams among records with stream-count annotation (n = 154). (f) Available batch-yield (n = 135) and optimized-flow-yield (n = 285) distributions. Categories are descriptive and non-exclusive where the source record contains more than one label.","Figure 2. Literature corpus and engineering rule-base coverage. (a-d) Reaction classes, reactor types, reported materials, and inlet-stream configurations in the curated flow-chemistry corpus; explicit inlet-stream counts are available for 154 records. (e) Category and severity distribution within the 2,537-rule engineering knowledge base. (f) Recorded associations between rule categories and chemistry classes. Full categorical exports and field-specific availability are reported in Figures S3-S4 and Tables S4-S5; associations indicate knowledge coverage rather than independent validation of every rule."
20,Figure S4,"Figure S4. Engineering rule-base structure. (a) Counts by category and severity for the 14 largest categories. (b) Fraction of rules containing a machine-detected quantitative expression; this indicates expression coverage, not independent equation verification. (c) Non-exclusive rule-category associations across chemistry classes. (d) Computed concept co-occurrence network using the 12 most frequent concepts and 22 highest-weight links. Node area is 35 + 420 sqrt(f_i/f_max) points squared, where   is concept frequency; node color is the dominant rule-category label; edge width is 0.25 + 2.4(w_ij/w_max) points, where w_ij is the rule-level co-occurrence count. The circular layout is used only for legibility.","Figure 2. Literature corpus and engineering rule-base coverage. (a-d) Reaction classes, reactor types, reported materials, and inlet-stream configurations in the curated flow-chemistry corpus; explicit inlet-stream counts are available for 154 records. (e) Category and severity distribution within the 2,537-rule engineering knowledge base. (f) Recorded associations between rule categories and chemistry classes. Full categorical exports and field-specific availability are reported in Figures S3-S4 and Tables S4-S5; associations indicate knowledge coverage rather than independent validation of every rule."
20,Table S4,Table S4. Available literature-corpus fields and available denominators.,"Figure 2. Literature corpus and engineering rule-base coverage. (a-d) Reaction classes, reactor types, reported materials, and inlet-stream configurations in the curated flow-chemistry corpus; explicit inlet-stream counts are available for 154 records. (e) Category and severity distribution within the 2,537-rule engineering knowledge base. (f) Recorded associations between rule categories and chemistry classes. Full categorical exports and field-specific availability are reported in Figures S3-S4 and Tables S4-S5; associations indicate knowledge coverage rather than independent validation of every rule."
20,Table S5,Table S5. Largest engineering rule categories and severity composition.,"Figure 2. Literature corpus and engineering rule-base coverage. (a-d) Reaction classes, reactor types, reported materials, and inlet-stream configurations in the curated flow-chemistry corpus; explicit inlet-stream counts are available for 154 records. (e) Category and severity distribution within the 2,537-rule engineering knowledge base. (f) Recorded associations between rule categories and chemistry classes. Full categorical exports and field-specific availability are reported in Figures S3-S4 and Tables S4-S5; associations indicate knowledge coverage rather than independent validation of every rule."
21,Figure S3,"Figure S3. Composition of the flow-chemistry literature corpus. (a-d) Reaction class, reactor type, reactor material, and bond or transformation labels (n = 464 records in each panel). (e) Number of inlet streams among records with stream-count annotation (n = 154). (f) Available batch-yield (n = 135) and optimized-flow-yield (n = 285) distributions. Categories are descriptive and non-exclusive where the source record contains more than one label.","The engineering knowledge base contained 2,537 structured rules spanning reactor design, heat transfer, catalyst behavior, residence time, photochemistry, materials, scale-up, pressure, mixing, and safety (Figure 2e-f). Coverage was not uniform across chemistry classes: heat-transfer rules were densely associated with thermal synthesis and cross-coupling, whereas photochemistry rules concentrated in photoredox and photocycloaddition classes. This structured rule landscape supplies domain context for evaluating model-generated designs alongside deterministic checks, rather than relying only on model priors. The frozen corpus composition and computed rule-base coverage are reported in Figures S3-S4 and Tables S4-S5."
