defect_id,category,severity,confirmed_cases,current_failure,required_gate
FP-01,Chemistry identity,critical,Qwen hydrogenolysis,Transformation identity can drift in free text,chemistry_identity_preserved
FP-02,Topology phase,major,Qwen and GPT hydrogenolysis,Gas and multiphase edges are serialized as liquid,topology_phase_consistent
FP-03,Topology semantics,major,Hydrogenolysis,External temperature control appears in process-path prose,control_edges_not_in_process_path
FP-04,Cross-artifact consistency,major,Qwen hydrogenolysis,Validation experiment retains stale 0.138 mL/min after final flow becomes 0.15789 mL/min,validation_experiments_current
FP-05,Inventory consistency,major,Two-stage amidation,Gas and BPR validation is proposed for a liquid-only design,validation_experiments_inventory_feasible
FP-06,Safety,major,All six FlowPilot candidates,Safety contract can report complete while council report has zero or one checks,safety_controls_complete
FP-07,Operating procedure,major,Multiple FlowPilot candidates,Required execution and shutdown steps are missing,procedure_complete
FP-08,Stoichiometry,major,Qwen two-stage amidation,TBHP is present but not quantified,component_stoichiometry_complete
FP-09,Unsupported operation,major,Qwen CuAAC and two-stage amidation,Procedure requests undeclared filtration or unnecessary degassing,no_unsupported_operations
FP-10,Residence-time semantics,major,Hydrogenolysis,Empty-bed and liquid-contact concepts are merged in one label,residence_time_basis_unambiguous
FP-11,Equipment loading,major,Hydrogenolysis,Mixer throughput omits gas contribution,equipment_loads_match_edge_flows
FP-12,Evidence calibration,major,Multiple FlowPilot candidates,Unsupported intensification language survives into final evidence,intensification_claim_has_evidence
