parameter_key,parameter_label,unit,pre_council_value,final_value,from_to,rationale_summary,rationale_source,rationale_quality
residence_time_min,Residence Time,min,90,127.3,90 -> 127.3,"Dr. Chemistry and Dr. Kinetics both favored the longer-tau region for SNAr at 150 C. Chief selected candidate 4 because it kept strong chemistry/kinetics while using a shorter coil than another long-tau option. Kinetics still flagged X≈0.76 vs the 0.85 target, but this was much safer than the short-tau candidates.","DrChemistryV4, DrKineticsV4, ChiefV4 in outputs/snar_council_run.json deliberation_log",agent-backed
flow_rate_mL_min,Total Flow Rate,mL/min,0.2234,0.0555,0.2234 -> 0.0555,"Chief preferred candidate 4's lower-flow operating window because it had a wider, more forgiving flowrate envelope (0.0389-0.0722 mL/min) than candidate 12, making it less sensitive to pump precision limits.",ChiefV4 selection rationale in outputs/snar_council_run.json,agent-backed
reactor_volume_mL,Reactor Volume,mL,20.106,7.069,20.106 -> 7.069,This compact reactor volume is the direct consequence of the winning tau/Q/d combination. The council favored a smaller reactor in a better geometry regime instead of keeping the original bulky design.,Derived from Chief-selected candidate 4 in outputs/snar_council_run.json,derived-from-agent-choice
tubing_ID_mm,Tubing Inner Diameter,mm,1.6,0.75,1.6 -> 0.75,"Chief chose the 0.75 mm design because candidate 4 had the highest geometry score, an optimal L/d ratio of 21.3, and better heat-transfer and mixing uniformity. This is the main geometry improvement over the pre-council design.",ChiefV4 selection rationale in outputs/snar_council_run.json,agent-backed
tubing_material,Tubing Material,,PFA,FEP,PFA -> FEP,"Chemistry and Safety both treated FEP as compatible with DMF at 150 C. The chemistry note explicitly cites a 50 C safety margin, and safety required FEP or PFA for this operating temperature.",DrChemistryV4 + DrSafetyV4 in outputs/snar_council_run.json,agent-backed
BPR_bar,Back-Pressure Regulator,bar,10,0.6,10 -> 0.6,"Safety judged the original 10 bar setting unnecessarily high. The council moved to the minimum safe liquid-phase region, consistent with the safety estimate that only about 0.62 bar was required.",DrSafetyV4 in outputs/snar_council_run.json,agent-backed
temperature_C,Temperature,C,150,150,150 -> 150,"No council agent argued for changing temperature. The case was framed as thermal SNAr at 150 C, so the council focused on geometry, pressure, and materials instead.",DesignerV4 framing + no contrary revision in outputs/snar_council_run.json,agent-backed
concentration_M,Reactor Concentration,M,0.15,0.15,0.15 -> 0.15,"Dr. Chemistry explicitly treated 0.15 M as well-optimized for this SNAr class, so concentration was left unchanged.",DrChemistryV4 in outputs/snar_council_run.json,agent-backed
reactor_type,Reactor Type,,coil,coil,coil -> coil,No agent challenged the coil reactor topology. The council refined the operating point inside the same process architecture.,No contrary revision in outputs/snar_council_run.json,agent-backed
mixer_type,Mixer Type,,T-mixer,T-mixer,T-mixer -> T-mixer,"Fluidics judged mixing acceptable across the shortlisted designs and especially strong for candidate 4 (r_mix≈0.018), so the T-mixer stayed unchanged.",DrFluidicsV4 in outputs/snar_council_run.json,agent-backed
pressure_drop_bar,Pressure Drop,bar,0.0021,0.0175,0.0021 -> 0.0175,"Pressure drop is a derived outcome, not a directly chosen knob. The winning 0.75 mm / low-flow geometry still kept delta-P extremely low, which supported the fluidics and safety acceptance.","DrFluidicsV4 + DrSafetyV4, derived from selected candidate metrics",derived-from-agent-choice
surface_to_volume_m_inv,Surface-to-Volume Ratio,m^-1,2500,5333.3,2500 -> 5333.3,Surface-to-volume more than doubled because the council chose the smaller-ID reactor. This was one of the main geometric advantages of the 12-candidate search over the single-candidate repair.,Derived from Chief-selected candidate 4 geometry,derived-from-agent-choice
